,Type,variable_1,Description,path,variable_2
0,WAFFLE,Central_Locking,Central_Locking feature exists in 0.88 percent of Cars.,./static/img/WAFFLE/Central_Locking.png,
1,WAFFLE,Auto-Dimming_Rear-View_Mirror,Auto-Dimming_Rear-View_Mirror feature exists in 0.51 percent of Cars.,./static/img/WAFFLE/Auto-Dimming_Rear-View_Mirror.png,
2,WAFFLE,Navigation_System,Navigation_System feature exists in 0.54 percent of Cars.,./static/img/WAFFLE/Navigation_System.png,
3,WAFFLE,Second_Row_AC_Vents,Second_Row_AC_Vents feature exists in 0.53 percent of Cars.,./static/img/WAFFLE/Second_Row_AC_Vents.png,
4,WAFFLE,Rain_Sensing_Wipers,Rain_Sensing_Wipers feature exists in 0.37 percent of Cars.,./static/img/WAFFLE/Rain_Sensing_Wipers.png,
5,BOX,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) has a mean value of 4596537.89, min and max value of 236447 and 212155397, respectively. Its InterQuartile Range (IQR) is 2235951.75.",./static/img/BOX/Ex-Showroom_Price(Rs).png,
6,BOX,Cylinders,"Cylinders has a mean value of 4.36, min and max value of 2.0 and 16.0, respectively. Its InterQuartile Range (IQR) is 0.0.",./static/img/BOX/Cylinders.png,
7,BOX,Height(mm),"Height(mm) has a mean value of 1591.09, min and max value of 1.845 and 2670.0, respectively. Its InterQuartile Range (IQR) is 171.0.",./static/img/BOX/Height(mm).png,
8,BOX,Length(mm),"Length(mm) has a mean value of 4296.88, min and max value of 4.64 and 6092.0, respectively. Its InterQuartile Range (IQR) is 628.25.",./static/img/BOX/Length(mm).png,
9,BOX,Width(mm),"Width(mm) has a mean value of 1788.55, min and max value of 1.845 and 2226.0, respectively. Its InterQuartile Range (IQR) is 152.5.",./static/img/BOX/Width(mm).png,
10,BOX,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) has a mean value of 51.93, min and max value of 2.0 and 26032.0, respectively. Its InterQuartile Range (IQR) is 38.0.",./static/img/BOX/City_Mileage(km_per_litre).png,
11,BOX,Ground_Clearance(mm),"Ground_Clearance(mm) has a mean value of 179.7, min and max value of 100.0 and 498.0, respectively. Its InterQuartile Range (IQR) is 23.0.",./static/img/BOX/Ground_Clearance(mm).png,
12,BOX,Seating_Capacity,"Seating_Capacity has a mean value of 5.27, min and max value of 2.0 and 16.0, respectively. Its InterQuartile Range (IQR) is 0.0.",./static/img/BOX/Seating_Capacity.png,
13,BOX,Wheelbase,"Wheelbase has a mean value of 2631.49, min and max value of 1840.0 and 3820.0, respectively. Its InterQuartile Range (IQR) is 270.0.",./static/img/BOX/Wheelbase.png,
14,BOX,Minimum_Turning_Radius(meter),"Minimum_Turning_Radius(meter) has a mean value of 13.1, min and max value of 3.5 and 6750.0, respectively. Its InterQuartile Range (IQR) is 7.9.",./static/img/BOX/Minimum_Turning_Radius(meter).png,
15,BOX,Number_of_Airbags,"Number_of_Airbags has a mean value of 3.81, min and max value of 1.0 and 14.0, respectively. Its InterQuartile Range (IQR) is 4.0.",./static/img/BOX/Number_of_Airbags.png,
16,PIE,Drivetrain,"Among Drivetrain, FWD (Front Wheel Drive) and Not Specified has highest and lowest percentage, respectively",./static/img/PIE/Drivetrain.png,
17,PIE,Emission_Norm,"Among Emission_Norm, BS IV and BS III has highest and lowest percentage, respectively",./static/img/PIE/Emission_Norm.png,
18,PIE,Fuel_Type,"Among Fuel_Type, Petrol and CNG + Petrol has highest and lowest percentage, respectively",./static/img/PIE/Fuel_Type.png,
19,PIE,Gears,"Among Gears, 5 and 7 Dual Clutch has highest and lowest percentage, respectively",./static/img/PIE/Gears.png,
20,PIE,Front_Brakes,"Among Front_Brakes, Ventilated Disc and Drum has highest and lowest percentage, respectively",./static/img/PIE/Front_Brakes.png,
21,PIE,Rear_Brakes,"Among Rear_Brakes, Drum and Not Specified has highest and lowest percentage, respectively",./static/img/PIE/Rear_Brakes.png,
22,PIE,Power_Steering,"Among Power_Steering, Electric Power and Electric Power, Hydraulic Power has highest and lowest percentage, respectively",./static/img/PIE/Power_Steering.png,
23,PIE,Power_Windows,"Among Power_Windows, All Windows and Not Specified has highest and lowest percentage, respectively",./static/img/PIE/Power_Windows.png,
24,PIE,Keyless_Entry,"Among Keyless_Entry, Smart Key and Smart Key, Remote has highest and lowest percentage, respectively",./static/img/PIE/Keyless_Entry.png,
25,PIE,Type,"Among Type, Manual and Not Specified has highest and lowest percentage, respectively",./static/img/PIE/Type.png,
26,PIE,Third_Row_AC_Vents,"Among Third_Row_AC_Vents, Not Applicable and TRUE has highest and lowest percentage, respectively",./static/img/PIE/Third_Row_AC_Vents.png,
27,BOX,Drivetrain,"In Drivetrains comparison wrt Ex-Showroom_Price(Rs),AWD (All Wheel Drive) has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by AWD (All Wheel Drive) and FWD (Front Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
28,BOX,Drivetrain,"In Drivetrains comparison wrt Cylinders,AWD (All Wheel Drive) has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by AWD (All Wheel Drive) and FWD (Front Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Cylinders.png,Cylinders
29,BOX,Drivetrain,"In Drivetrains comparison wrt Height(mm),4WD has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by RWD (Rear Wheel Drive) and Not Specified respectively.",./static/img/BOX/Drivetrain_Height(mm).png,Height(mm)
30,BOX,Drivetrain,"In Drivetrains comparison wrt Length(mm),AWD (All Wheel Drive) has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and RWD (Rear Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Length(mm).png,Length(mm)
31,BOX,Drivetrain,"In Drivetrains comparison wrt Width(mm),4WD has the highest mean whereas, FWD (Front Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4WD and RWD (Rear Wheel Drive) respectively.",./static/img/BOX/Drivetrain_Width(mm).png,Width(mm)
32,BOX,Drivetrain,"In Drivetrains comparison wrt City_Mileage(km_per_litre),FWD (Front Wheel Drive) has the highest mean whereas, RWD (Rear Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by AWD (All Wheel Drive) and FWD (Front Wheel Drive) respectively.",./static/img/BOX/Drivetrain_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
33,BOX,Drivetrain,"In Drivetrains comparison wrt Ground_Clearance(mm),4WD has the highest mean whereas, RWD (Rear Wheel Drive) has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4WD and Not Specified respectively.",./static/img/BOX/Drivetrain_Ground_Clearance(mm).png,Ground_Clearance(mm)
